COMPRODUCT,COMPRODUCT-16951,2024-05-17 04:41:25.197000-05:00,status,In Development,Code Review,8 days 20:32:30.457000
COMPRODUCT,COMPRODUCT-16951,2024-08-16 09:27:54.743000-05:00,status,Code Review,Closed,91 days 04:46:29.546000
COMPRODUCT,COMPRODUCT-16951,2024-11-12 09:32:49.069454-05:00,,Closed,Active,88 days 00:04:54.326454
COMPRODUCT,COMPRODUCT-16807,2024-04-26 01:39:43.003000-05:00,status,To Do,Ready for Development,
COMPRODUCT,COMPRODUCT-16807,2024-09-19 02:21:17.370000-05:00,status,Ready for Development,Closed,146 days 00:41:34.367000
COMPRODUCT,COMPRODUCT-16807,2024-11-12 09:32:49.079097-05:00,,Closed,Active,54 days 07:11:31.709097
COMPRODUCT,COMPRODUCT-16560,2023-12-13 08:03:00.047000-06:00,status,New,In Development,
COMPRODUCT,COMPRODUCT-16560,2024-01-22 08:19:02.537000-06:00,status,In Development,Code Review,40 days 00:16:02.490000
COMPRODUCT,COMPRODUCT-16560,2024-01-22 08:19:13.533000-06:00,status,Code Review,In Development,0 days 00:00:10.996000
COMPRODUCT,COMPRODUCT-16560,2024-05-27 07:45:02.180000-05:00,status,In Development,FA Grooming,125 days 22:25:48.647000
COMPRODUCT,COMPRODUCT-16560,2024-06-25 06:02:52.207000-05:00,status,FA Grooming,In Development,28 days 22:17:50.027000
COMPRODUCT,COMPRODUCT-16560,2024-06-25 07:11:37.247000-05:00,status,In Development,Code Review,0 days 01:08:45.040000
COMPRODUCT,COMPRODUCT-16560,2024-08-16 09:24:36.180000-05:00,status,Code Review,Closed,52 days 02:12:58.933000
COMPRODUCT,COMPRODUCT-16560,2024-11-12 09:32:49.092178-05:00,,Closed,Active,88 days 00:08:12.912178
COMPRODUCT,COMPRODUCT-16504,2024-02-02 09:15:51.623000-06:00,status,New,In Development,
COMPRODUCT,COMPRODUCT-16504,2024-10-24 05:12:25.523000-05:00,status,In Development,Closed,264 days 18:56:33.900000
COMPRODUCT,COMPRODUCT-16504,2024-11-12 09:32:49.105036-05:00,,Closed,Active,19 days 04:20:23.582036
COMPRODUCT,COMPRODUCT-16500,2024-02-02 09:15:17.540000-06:00,status,New,In Development,
COMPRODUCT,COMPRODUCT-16500,2024-10-24 05:13:01.233000-05:00,status,In Development,Closed,264 days 18:57:43.693000
COMPRODUCT,COMPRODUCT-16500,2024-11-12 09:32:49.117816-05:00,,Closed,Active,19 days 04:19:47.884816
